attack_id,attack_name,alert_time,rule_id,rule_level,rule_description,location,agent_id
03,Unauthorized File Modification,2026-01-10T17:07:20.464000+00:00,554,5,File added to the system.,syscheck,002
03,Unauthorized File Modification,2026-01-10T17:07:21.415000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.421000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.445000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:20.410000+00:00,550,7,Integrity checksum changed.,syscheck,002
03,Unauthorized File Modification,2026-01-10T17:07:21.411000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.425000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.440000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:20.421000+00:00,550,7,Integrity checksum changed.,syscheck,002
03,Unauthorized File Modification,2026-01-10T17:07:20.442000+00:00,554,5,File added to the system.,syscheck,002
03,Unauthorized File Modification,2026-01-10T17:07:20.448000+00:00,554,5,File added to the system.,syscheck,002
03,Unauthorized File Modification,2026-01-10T17:07:21.400000+00:00,40112,12,Multiple authentication failures followed by a success.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.402000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.406000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.408000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.413000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.417000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.419000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.423000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.427000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.430000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.431000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.433000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.435000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.438000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
03,Unauthorized File Modification,2026-01-10T17:07:21.442000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:25.475000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:25.496000+00:00,553,7,File deleted.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:27.406000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.407000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.408000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.411000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.412000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.416000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.423000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.427000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.435000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.335000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.350000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.386000+00:00,550,7,Integrity checksum changed.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.417000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.420000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.434000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.441000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.447000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.451000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.453000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.455000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.472000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.490000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.492000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.496000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.499000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.500000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.505000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.509000+00:00,554,5,File added to the system.,syscheck,002
04,Configuration File Tampering,2026-01-10T17:07:29.514000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.515000+00:00,5502,3,PAM: Login session closed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:29.519000+00:00,5402,3,Successful sudo to ROOT executed.,/var/log/auth.log,002
04,Configuration File Tampering,2026-01-10T17:07:27.426000+00:00,5501,3,PAM: Login session opened.,/var/log/auth.log,002
